,eff_stress,VP,VS,DEN,VSH_GR,PHIT_ND
457,19.58,2977.62,1536.57,2.17,0.35,0.35
458,19.6,2951.41,1508.91,2.16,0.34,0.36
459,19.62,2959.22,1542.94,2.21,0.55,0.34
460,19.64,3064.72,1608.83,2.3,0.61,0.33
461,19.65,3025.99,1574.08,2.19,0.49,0.34
462,19.67,3163.02,1649.19,2.35,0.55,0.3
463,21.56,3308.29,1790.16,2.18,0.22,0.3
464,21.58,3260.49,1742.11,2.12,0.38,0.33
465,21.59,3222.36,1703.84,2.17,0.5,0.31
466,21.61,3183.63,1682.42,2.14,0.35,0.32
467,21.63,3285.76,1775.32,2.18,0.17,0.3
468,21.64,3249.04,1740.57,2.17,0.26,0.31
469,21.66,3157.8,1663.6,2.16,0.32,0.31
470,21.68,3180.55,1687.38,2.14,0.23,0.32
471,21.69,3140.54,1642.72,2.17,0.31,0.33
472,21.71,3100.2,1622.77,2.14,0.24,0.32
473,21.73,3195.27,1696.46,2.12,0.27,0.34
474,21.74,3078.3,1589.95,2.17,0.42,0.32
475,21.76,3113.53,1625.82,2.16,0.36,0.31
476,21.78,3072.48,1585.58,2.18,0.47,0.31
477,21.79,3154.42,1660.35,2.19,0.33,0.3
478,21.81,3289.18,1739.17,2.36,0.56,0.22
479,21.83,3117.08,1606.17,2.21,0.53,0.31
480,21.85,3214.06,1677.47,2.22,0.61,0.31
481,22.56,3326.62,1814.83,2.24,0.07,0.27
482,22.58,3286.48,1786.06,2.2,0.01,0.29
483,22.6,3387.84,1866.47,2.22,0.03,0.26
484,22.61,3358.77,1838.91,2.23,0.05,0.28
485,22.63,3337.14,1821.07,2.24,0.1,0.26
486,22.65,3289.19,1780.43,2.2,0.11,0.3
487,22.67,3351.62,1836.97,2.22,0.04,0.28
488,22.69,3256.03,1757.14,2.23,0.08,0.28
489,22.7,3331.59,1818.67,2.16,0.07,0.3
490,22.72,3213.19,1726.47,2.26,0.02,0.25
491,22.74,3175.56,1695.36,2.15,0.04,0.3
492,22.76,3200.34,1716.23,2.17,0.02,0.3
